2025-09-01T04:43:51.677185+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '02c73e0c-7c70-4f80-9f50-5fb290c7c692', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 10, 'end_line': 11, 'runner_ident': 'c1de6e6b-2976-4a76-b1d8-35060b4417ec', 'created': '2025-09-01T04:43:51.667431+00:00'}
2025-09-01T05:08:26.998763+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '84d68763-251d-43d9-8575-b82cea78ba7d', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': '942d618a-711f-4b9a-990e-a2cd6901c1f0', 'created': '2025-09-01T05:08:26.997926+00:00'}
2025-09-01T05:08:26.999584+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '6a1f1de2-2a73-4855-be95-31a6d7ba4aa8', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': '942d618a-711f-4b9a-990e-a2cd6901c1f0', 'created': '2025-09-01T05:08:26.998116+00:00'}
2025-09-01T05:08:29.635789+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f5a30925-57c2-46b4-8528-69355587919f', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 9, 'end_line': 10, 'runner_ident': '942d618a-711f-4b9a-990e-a2cd6901c1f0', 'created': '2025-09-01T05:08:29.629860+00:00'}
2025-09-01T05:08:29.636033+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e8a28198-d007-4608-a16e-f71e3ae9536c', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 10, 'end_line': 11, 'runner_ident': '942d618a-711f-4b9a-990e-a2cd6901c1f0', 'created': '2025-09-01T05:08:29.630019+00:00'}
2025-09-01T05:10:51.515175+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '617ff4d4-bb18-47ed-b3e2-f6fdd0457876', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': 'd9a2db3b-374d-4f9a-8a8d-c847650c9d4a', 'created': '2025-09-01T05:10:51.514614+00:00'}
2025-09-01T05:10:51.515948+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '6c5ae3ba-30e6-4dba-bcc5-1ea588b2440c', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': 'd9a2db3b-374d-4f9a-8a8d-c847650c9d4a', 'created': '2025-09-01T05:10:51.514839+00:00'}
2025-09-02T01:47:18.032295+00:00 CRITICAL 'ansible_navigator.actions.run_5f7c._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '3b3aae77-71a7-480c-83ef-8516e9956fcc', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': 'cb9b45bc-5bbf-4cf0-a623-d112052b77e5', 'created': '2025-09-02T01:47:17.979266+00:00'}
2025-09-02T01:47:18.032866+00:00 CRITICAL 'ansible_navigator.actions.run_5f7c._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '13b6346a-20b4-478a-bb56-98e0b98708a4', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': 'cb9b45bc-5bbf-4cf0-a623-d112052b77e5', 'created': '2025-09-02T01:47:17.979426+00:00'}
2025-09-02T01:47:21.141944+00:00 CRITICAL 'ansible_navigator.actions.run_5f7c._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '41f6b54d-2431-4235-a901-42ea0391a9f2', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 9, 'end_line': 10, 'runner_ident': 'cb9b45bc-5bbf-4cf0-a623-d112052b77e5', 'created': '2025-09-02T01:47:21.050367+00:00'}
2025-09-02T01:47:21.142208+00:00 CRITICAL 'ansible_navigator.actions.run_5f7c._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e65a34c7-92b0-42ec-a8a7-d07f2765e82c', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 10, 'end_line': 11, 'runner_ident': 'cb9b45bc-5bbf-4cf0-a623-d112052b77e5', 'created': '2025-09-02T01:47:21.050557+00:00'}
